ebird_code,our_scientific_name,birdnet_scientific_name,english_name
grefla3,Phoenicopterus roseus,Phoenicopterus roseus,Greater Flamingo
eurnut2,Sitta europaea,Sitta europaea,Eurasian Nuthatch
dunlin,Calidris alpina,Calidris alpina,Dunlin
reebun,Emberiza schoeniclus,Emberiza schoeniclus,Reed Bunting
comgre,Tringa nebularia,Tringa nebularia,Common Greenshank
woolar1,Lullula arborea,Lullula arborea,Wood Lark
eutspa,Passer montanus,Passer montanus,Eurasian Tree Sparrow
watrai1,Rallus aquaticus,Rallus aquaticus,Water Rail
squher1,Ardeola ralloides,Ardeola ralloides,Squacco Heron
comcuc,Cuculus canorus,Cuculus canorus,Common Cuckoo
mutswa,Cygnus olor,Cygnus olor,Mute Swan
shttre1,Certhia brachydactyla,Certhia brachydactyla,Short-toed Treecreeper
grswoo,Dendrocopos major,Dendrocopos major,Great Spotted Woodpecker
tufduc,Aythya fuligula,Aythya fuligula,Tufted Duck
purher1,Ardea purpurea,Ardea purpurea,Purple Heron
eugori2,Oriolus oriolus,Oriolus oriolus,Eurasian Golden Oriole
dunnoc1,Prunella modularis,Prunella modularis,Dunnock
cowpig1,Columba palumbus,Columba palumbus,Common Wood-Pigeon
ortbun1,Emberiza hortulana,Emberiza hortulana,Ortolan Bunting
colfly1,Ficedula albicollis,Ficedula albicollis,Collared Flycatcher
brambl,Fringilla montifringilla,Fringilla montifringilla,Brambling
coatit2,Periparus ater,Periparus ater,Coal Tit
fieldf,Turdus pilaris,Turdus pilaris,Fieldfare
comsan,Actitis hypoleucos,Actitis hypoleucos,Common Sandpiper
eupfly1,Ficedula hypoleuca,Ficedula hypoleuca,European Pied Flycatcher
bkwsti,Himantopus himantopus,Himantopus himantopus,Black-winged Stilt
eurser1,Serinus serinus,Serinus serinus,European Serin
norlap,Vanellus vanellus,Vanellus vanellus,Northern Lapwing
martit2,Poecile palustris,Poecile palustris,Marsh Tit
redwin,Turdus iliacus,Turdus iliacus,Redwing
miswoo1,Dendrocoptes medius,Dendrocoptes medius,Middle Spotted Woodpecker
gyfwoo1,Picus canus,Picus canus,Gray-headed Woodpecker
crelar1,Galerida cristata,Galerida cristata,Crested Lark
bkbplo,Pluvialis squatarola,Pluvialis squatarola,Black-bellied Plover
euptit1,Remiz pendulinus,Remiz pendulinus,Eurasian Penduline-Tit
eurlin1,Linaria cannabina,Linaria cannabina,Eurasian Linnet
thrnig1,Luscinia luscinia,Luscinia luscinia,Thrush Nightingale
eursco1,Otus scops,Otus scops,Eurasian Scops-Owl
eurnig1,Caprimulgus europaeus,Caprimulgus europaeus,Eurasian Nightjar
corplo,Charadrius hiaticula,Charadrius hiaticula,Common Ringed Plover
sedwar1,Acrocephalus schoenobaenus,Acrocephalus schoenobaenus,Sedge Warbler
retpip,Anthus cervinus,Anthus cervinus,Red-throated Pipit
marwar3,Acrocephalus palustris,Acrocephalus palustris,Marsh Warbler
gadwal,Mareca strepera,Mareca strepera,Gadwall
bcnher,Nycticorax nycticorax,Nycticorax nycticorax,Black-crowned Night Heron
eurcur,Numenius arquata,Numenius arquata,Eurasian Curlew
garwar1,Sylvia borin,Sylvia borin,Garden Warbler
eugplo,Pluvialis apricaria,Pluvialis apricaria,European Golden-Plover
comcra,Grus grus,Grus grus,Common Crane
loeowl,Asio otus,Asio otus,Long-eared Owl
gragoo,Anser anser,Anser anser,Graylag Goose
tawowl1,Strix aluco,Strix aluco,Tawny Owl
eurwry,Jynx torquilla,Jynx torquilla,Eurasian Wryneck
whoswa,Cygnus cygnus,Cygnus cygnus,Whooper Swan
yellow2,Emberiza citrinella,Emberiza citrinella,Yellowhammer
webowl1,Tyto alba,Tyto alba,Western Barn Owl
comqua1,Coturnix coturnix,Coturnix coturnix,Common Quail
grebit1,Botaurus stellaris,Botaurus stellaris,Eurasian Bittern
eurwoo,Scolopax rusticola,Scolopax rusticola,Eurasian Woodcock
spocra1,Porzana porzana,Porzana porzana,Spotted Crake
callar1,Melanocorypha calandra,Melanocorypha calandra,Calandra Lark
gwfgoo,Anser albifrons,Anser albifrons,Greater White-fronted Goose
rinouz1,Turdus torquatus,Turdus torquatus,Ring Ouzel
bearee1,Panurus biarmicus,Panurus biarmicus,Bearded Reedling
blueth,Luscinia svecica,Luscinia svecica,Bluethroat
savwar1,Locustella luscinioides,Locustella luscinioides,Savi's Warbler
ictwar1,Hippolais icterina,Hippolais icterina,Icterine Warbler
litter1,Sternula albifrons,Sternula albifrons,Little Tern
euhgul1,Larus argentatus,Larus argentatus,European Herring Gull
humwar1,Phylloscopus humei,Phylloscopus humei,Hume's Warbler
comros,Carpodacus erythrinus,Carpodacus erythrinus,Common Rosefinch
rudtur,Arenaria interpres,Arenaria interpres,Ruddy Turnstone
euroys1,Haematopus ostralegus,Haematopus ostralegus,Eurasian Oystercatcher
redcro,Loxia curvirostra,Loxia curvirostra,Red Crossbill
whimbr5,Numenius phaeopus,Numenius phaeopus,Eurasian Whimbrel
